"Compound"	"Reactions of compounds"
CPD-9750	RXN-9185 // RXN-9184 // RXN-9183 // RXN-9182 // RXN-9181
GLYCOLLATE	GLYCOLATEDEHYDRO-RXN // GLYCOLATE-REDUCTASE-RXN // RXN-969 // GLYOXYLATE-REDUCTASE-NADP+-RXN // RXN0-7229 // RXN-1744 // RXN-17757 // RXN0-7173 // HALOACETATE-DEHALOGENASE-RXN // TRANS-RXN-105 // RXN0-5111 // RXN-14642 // DHLBXANAU-RXN // RXN-11761 // GLYCOLALD-DEHYDROG-RXN // CARBOXYMETHYLOXYSUCCINATE-LYASE-RXN // GPH-RXN
CPD-9747	RXN-9183
CPD-18691	RXN-17292 // RXN-17303
CPD-9744	RXN-9180
CPD-3566	""
CPD-19545	""
23-PENTANEDIONE	""
CPD1UA-42	RXN1UA-51 // RXN1UA-67
CPD-7242	3.1.2.25-RXN // 1.17.5.1-RXN
CPD-10238	RXN-9610 // RXN-9609
CILASTATIN	""
CPD-14874	RXN-13869 // RXN-13868
CPD-9673	RXN-9155 // RXN-9154 // RXN-9153
CPD-16740	RXN-15498 // RXN-15496
CPD-12334	RXN-11365 // RXN-11364
CPD-17195	RXN-15958 // RXN-15957
CPD0-2102	""
CPD-2752	RXN66-162
THIALYSINE	""
LICODIONE	LICODIONE-2-O-METHYLTRANSFERASE-RXN // 1.14.13.87-RXN
CPD-15131	RXN-14153
CPD-10164	RXN-9483 // RXN-9481
GAMMA-GLUTAMYL-PUTRESCINE	RXN0-3921 // RXN0-3901
CPD-10241	RXN-9605 // RXN-9604
CPD-18559	RXN-17171 // RXN-17170
CPD-15302	""
CPD-3422	RXN-3592 // RXN-3583
CPD-9916	RXN-9309
CPD-7102	RXN-7803 // NUCLEOSIDE-OXIDASE-RXN
CPD-17201	RXN-15967 // RXN-15966
2-PHENYL-2-1-PIPERDINYLPROPANE	""
CPD-16753	""
CARBON-MONOXIDE	1.2.2.4-RXN // RXN-17357 // 1.2.7.4-RXN // RXN-12907 // RXN-1025 // HEME-OXYGENASE-DECYCLIZING-RXN // RXN-18342 // RXN-18339 // RXN-18338 // RXN-17523 // RXN-17971 // RXN-17522 // TRANS-RXN0-556 // ACETYLSYNCLTH-RXN // RXN-13281 // PYRIMSYN1-RXN // RXN-8407 // QUERCETIN-23-DIOXYGENASE-RXN // 1.13.11.48-RXN // 1.13.11.47-RXN // R146-RXN
CPD-16634	""
CPD-9628	""
CPD-12187	RXN-11225 // RXN-11224
CPD-12204	RXN-11250 // RXN-11249
CPD-10167	RXN-9486 // RXN-9485
CPD0-2070	""
CPD-4443	RXN-4542 // RXN-4545
TARTRATE	TARTRATE-DECARBOXYLASE-RXN // TARTRATE-EPIMERASE-RXN // TARTRATE-DEHYDROGENASE-RXN // LTARTDEHYDRA-RXN // TRANS-RXN-127 // RXN-12875 // RXN-12110
CPD-17198	RXN-15966 // RXN-15965
CPD-14966	RXN-10883 // RXN-13135 // RXN-10882
CPD-16743	RXN-15501 // RXN-15737 // RXN-15500
ETHANOL-AMINE	ETHANOLAMINE-KINASE-RXN // RXN-5761 // RXN-11609 // ETHAMLY-RXN // ETHANOLAMINE-OXIDASE-RXN // RXN-15544 // RXN0-7272 // 3.5.1.60-RXN // RXN-17740 // TRANS-RXN0-476 // RXN6666-2 // RXN-14160 // RXN0-7012 // 3.1.4.39-RXN // RXN-1382 // RXN-7948 // RXN-5641
CPD-15854	RXN-14944
CPD-18482	RXN-17097 // RXN-17095
6E8Z11Z14Z-5S-5-HYDROPEROXYCOSA-6	RXN-8647 // ARACHIDONATE-5-LIPOXYGENASE-RXN
CPD-3191	RXN66-165 // RXN66-164
5Z8Z10E14Z-12S-12-HYDROPEROXYICOS	RXN-14942 // RXN-14951 // RXN-14948 // ARACHIDONATE-12-LIPOXYGENASE-RXN
CPD-7032	1.1.1.265-RXN // RXN-7693
CPD-15850	RXN-14941
2-HYDROXYSUCCINAMATE	RXN-6561
5Z8Z11Z13E-15S-15-HYDROPEROXYICOS	ARACHIDONATE-15-LIPOXYGENASE-RXN
BUTYLAMINE	""
CPD-15852	RXN-14943 // RXN-14952
CPD-9603	RXN-9102
5Z9E11Z14Z-8S-8-HYDROPEROXYICOSA-TETRAEN	RXN-14945 // RXN-14953 // ARACHIDONATE-8-LIPOXYGENASE-RXN
CPD0-2039	""
CPD-59	""
SN-GERANYLGERANYLGLYCERYL-1-PHOSPHATE	2.5.1.42-RXN // 2.5.1.41-RXN
CPD-725	RXN1F-19 // RXN-1345 // RXN-13945 // RXN-1321
CPD-12138	RXN-15446 // RXN-11180
CPD-13767	RXN-12759
CPD-14700	""
CPD-8678	RXN-8500 // RXN-8503 // RXN-8498 // RXN-12659 // RXN-16219 // RXN-8497
ECTOINE	RXN-18394 // RXN-18397 // R103-RXN
CPD-15843	RXN-14926
CPD-18432	RXN-17065 // RXN-17063
CPD-18892	""
CPD-29	""
CPD-18894	""
CPD-6996	RXN-7655 // RXN-7654
CPD-9067	RXN-8791 // RXN-17426
2-DEOXY-D-GLUCOSE-6-PHOSPHATE	3.1.3.68-RXN // TRANS-RXN0-540
CPD-17063	RXN-18428 // RXN-18399 // HEMEOSYN-RXN
BESTATIN	""
CPD-17067	""
