"Compound"	"Reactions of compounds"
CPD-653	4.2.1.93-RXN // RXN0-6727 // RXN-12752 // RXN-12753
CPD0-2472	RXN-12752 // RXN-12754
DEAMIDO-NAD	NAD-SYNTH-GLN-RXN // NAD-SYNTH-NH3-RXN // NICONUCADENYLYLTRAN-RXN
CPD0-1223	""
CPD-18088	RXN-16775 // RXN-16772 // RXN-16768
CPD-18084	RXN-16773 // RXN-16770 // RXN-16766
CPD0-1364	""
CPD-8830	""
CPD-18085	RXN-15116 // RXN-16769 // RXN-16765
CPD-15009	RXN-13973 // RXN-13972
CPD0-1899	""
CPD0-1222	""
CPD-18087	RXN-16774 // RXN-16771 // RXN-16767
CPD-16785	RXN-15540 // RXN-15539
CPD-12663	RXN-11704
CPD-12665	RXN-11705
CPD-12628	RXN-11704 // RXN-11658
CPD-17085	RXN-11462
D-MANNONATE	MANNONDEHYDRAT-RXN // RXN-14368 // MANNONOXIDOREDUCT-RXN // MANNURONATE-REDUCTASE-RXN
CPD-14806	RXN-14360 // RXN-14359 // RXN-13773 // RXN-13774
CPD-7077	""
CPD-13789	3.2.1.131-RXN
PHOSPHO-ENOL-PYRUVATE	2.5.1.19-RXN // UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN // 2.7.1.121-RXN // PHOSPHOENOLPYRUVATE-MUTASE-RXN // DAHPSYN-RXN // RXN-12324 // RXN-10002 // N-ACETYLNEURAMINATE-SYNTHASE-RXN // PHOSPHOENOLPYRUVATE-PHOSPHATASE-RXN // RXN-12238 // RXN-11802 // RXN-9988 // RXN-15654 // KDO-8PSYNTH-RXN // RXN-9584 // RXN-17078 // 2.7.3.9-RXN // RXN-17394 // RXN-9991 // RXN-17354 // RXN-12809 // PEPDEPHOS-RXN // PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN // RXN-14207 // RXN-14117 // RXN-14192 // RXN-12481 // 4.1.1.32-RXN // 4.4.1.19-RXN // PEPCARBOX-RXN // TRANS-RXN-210 // 4.1.1.38-RXN // 2PGADEHYDRAT-RXN // PEPCARBOXYKIN-RXN // PEPSYNTH-RXN
CPD-376	R-DEHYDROPANTOATE-DEHYDROGENASE-RXN // PANTOATE-4-DEHYDROGENASE-RXN
CPD-12444	RXN-11463
L-PANTOATE	PANTOATE-BETA-ALANINE-LIG-RXN // 2-DEHYDROPANTOATE-REDUCT-RXN // RXN-11782 // PANTOATE-4-DEHYDROGENASE-RXN // RXN-14175 // PANTOTHENASE-RXN
CPD-16877	""
CPD-11591	RXN-10749
CPD-16182	RXN-15204
CARNITINE	CARNITINE-DECARBOXYLASE-RXN // CARNITINE-3-DEHYDROGENASE-RXN // RXN0-3601 // RXN-14936 // RXN-5921 // LCARNCOALIG-RXN // CARNITINE-O-OCTANOYLTRANSFERASE-RXN // CARNITINE-O-ACETYLTRANSFERASE-RXN // RXN-18367 // RXN-18368 // RXN-18369 // RXN-18370 // RXN-18371 // RXN-18372 // RXN-18373 // CARNITINE-O-PALMITOYLTRANSFERASE-RXN // RXN-9918 // RXN-18548 // ACYLCARNITINE-HYDROLASE-RXN // CARNRACE-RXN // TRANS-RXN-100 // CARNITINAMIDASE-RXN // TRANS-RXN-177 // 1.14.11.1-RXN
CPD-14807	RXN-13774 // RXN-13775
ACET	ACETATE-KINASE-PYROPHOSPHATE-RXN // RXN-1181 // RXN0-6375 // RXN-11264 // RXN-9245 // RXN-9246 // CITC-RXN // RXN-9776 // ACETATE--COA-LIGASE-ADP-FORMING-RXN // ACETATE--COA-LIGASE-RXN // ACETATEKIN-RXN // RXN-1408 // RXN-15727 // ACECOATRANS-RXN // R8-RXN // RXN-8807 // R11-RXN // RXN-13181 // RXN-13182 // RXN-18801 // TRANS-RXN0-571 // ACETYLESTERASE-RXN // SULFOCYS-RXN // RXN-1744 // RXN-15008 // RXN-8889 // 5-HYDROXYPENTANOATE-COA-TRANSFERASE-RXN // RXN-1082 // GLUTACONATE-COA-TRANSFERASE-RXN // CITRAMALATE-COA-TRANSFERASE-RXN // MALONATE-COA-TRANSFERASE-RXN // RXN-18396 // 2.8.3.10-RXN // RXN-11290 // 3.1.1.69-RXN // RXN66-3 // R581-RXN // RXN-13684 // 3.5.1.98-RXN // RXN-13680 // RXN-14728 // RXN-18073 // RXN0-5414 // 4.1.2.30-RXN // RXN66-341 // ACETOACETYL-COA-TRANSFER-RXN // RXN-17577 // RXN-17572 // RXN0-3962 // RXN0-7075 // RXN0-7013 // RXN-11313 // R306-RXN // RXN-17600 // RXN-8633 // RXN-17579 // ACETYLPYRUVATE-HYDROLASE-RXN // 6-ACETYLGLUCOSE-DEACETYLASE-RXN // RXN-17198 // RXN-17054 // RXN-17053 // RXN-17046 // RXN-17045 // RXN-17042 // RXN-12097 // RXN-12098 // CITRATE-PRO-3S-LYASE-THIOLESTERASE-RXN // CHITIN-DEACETYLASE-RXN // CITTRANS-RXN // RXN-8222 // RXN-3942 // RXN-7261 // RXN-15809 // RXN-8919 // RXN-16091 // RXN-12726 // RXN-8220 // RXN-15723 // RXN-15724 // PROPIONATE-COA-TRANSFERASE-RXN // RXN-15638 // O-ACETYLHOMOSERINE-THIOL-LYASE-RXN // RXN0-7001 // RXN-15247 // RXN-15245 // RXN0-1981 // TRANS-RXN0-567 // 3.1.1.58-RXN // RXN-15018 // RXN-8871 // 3.5.1.29-RXN // 3.5.1.66-RXN // RXN-14458 // CITLY-RXN // RXN-9488 // RXN-9493 // RXN-9774 // OXALOACETASE-RXN // RXN1G-2 // RXN-13177 // RXN-13123 // RXN-13890 // RXN-13889 // RXN-9729 // ACETYL-COA-HYDROLASE-RXN // NAG6PDEACET-RXN // ACSERLY-RXN // ACETYLORNDEACET-RXN // RXN-13679 // RXN-9194 // ARYLESTERASE-RXN // RXN-13543 // N-ACETYLGLUCOSAMINE-DEACETYLASE-RXN // RXN-13210 // RXN-13126 // 2.5.1.51-RXN // RXN-7461 // RXN-7819 // RXN-12679 // RXN-12628 // RXN-12543 // RXN-8144 // RXN-11317 // 3.1.1.47-RXN // RXN-11557 // 3.5.1.76-RXN // 3.1.1.72-RXN // RXN-36 // RXN-12017 // 4.1.3.26-RXN // LACTATE-2-MONOOXYGENASE-RXN // R425-RXN // RXN8J2-2 // RXN-11496 // RXN-11270 // RXN-11066 // RXN-10840 // RXN-9336 // RXN-9453 // RXN-7543 // RXN-8827 // RXN-8092 // RXN-7933 // RXN-7691 // RXN-7541 // R322-RXN // 3.1.1.71-RXN // 3.1.1.54-RXN // 3.5.1.85-RXN // 4-ACETAMIDOBUTYRYL-COA-DEACETYLASE-RXN // 3.5.1.80-RXN // 3.11.1.2-RXN // VALGLU-RXN // AMVAL-RXN // 2-OH-6-OXOHEPTA-2-4-DIENOATE-HYDR-RXN // ACETYLHOMOSER-CYS-RXN // DIGLUCOACETYL-DOCOSANOATE-HYDROLYSIS-RXN // DIGLUCODIACETYL-DOCOSANOATE-LYSIS-RXN // ASCORBATE-PHOSPHORYLATION-IV-RXN // ACETYLCHOLINESTERASE-RXN // 3.1.1.66-RXN // 3.1.1.56-RXN // CEPHALOSPORIN-C-DEACETYLASE-RXN // ACETYLSALICYLATE-DEACETYLASE-RXN // ACETYLSPERMIDINE-DEACETYLASE-RXN // ACETYLPUTRESCINE-DEACETYLASE-RXN // N-ACETYLDIAMINOPIMELATE-DEACETYLASE-RXN // N-ACETYL-BETA-ALANINE-DEACETYLASE-RXN // CITRAMALATE-LYASE-RXN // BETA-9-CYTOKININ-ALANINE-SYNTHASE-RXN // UDPACYLGLCNACDEACETYL-RXN
CPD-7559	RXN-8056 // RXN-8055
CPD-14601	RXN-13608 // RXN-13607 // RXN-13605 // RXN-13606
CPD-633	GENTISATE-DECARBOXYLASE-RXN // RXN-11705 // GENTISATE-12-DIOXYGENASE-RXN // TRANS-RXN18HP-97 // R246-RXN // RXN-15478 // RXN-10446 // 3-HYDROXYBENZOATE-6-MONOOXYGENASE-RXN // RXN-11741
CPD-11623	RXN-13714
GLUCONATE	GLUCONOKIN-RXN // GLUCONATE-2-DEHYDROGENASE-RXN // 1.1.1.215-RXN // RXN-14204 // GLUCONATE-DEHYDRATASE-RXN // RXN-14367 // RXN0-7101 // GLUCONATE-5-DEHYDROGENASE-RXN // RXN-17754 // TRANS-RXN0-209 // RXN-15204 // GLUCONOLACT-RXN // RXN0-5185
CPDQT-331	RXNQT-4362 // RXNQT-4364
CPD-15127	RXN-14150 // RXN-14149
ALLANTOATE	ALLANTOICASE-RXN // ALLANTOATE-DEIMINASE-RXN // ALLANTOINASE-RXN
CPD-7972	RXN-8239 // RXN-8238
CPD-14805	RXN-13773 // RXN-13772
3-HYDROXYPHENYLACETATE	1.14.13.63-RXN
CPD-67	GPH-RXN // RXN-961
CPD-17785	""
CPD-12218	RXN-11270 // RXN-11269
GLUCOSAMINATE	RXN-15571 // 4.3.1.21-RXN // RXN-14729
CPD-16810	RXN-15573 // RXN-15572
CPD-14640	""
CPD-18294	RXN-16974 // RXN-16973
CPD-18291	RXN-16971 // RXN-16970
CPD-15283	RXN-15351 // RXN-15353 // RXN-15373 // RXN-14434 // RXN-15372 // RXN-15374 // RXN-15352 // RXN-15354
3-HYDROXYBENZOATE	3-HYDROXYBENZOATE-2-MONOOXYGENASE-RXN // RXN-7488 // 3-HYDROXYBENZOATE-4-MONOOXYGENASE-RXN // 3-HYDROXYBENZOATE-6-MONOOXYGENASE-RXN // 3-OH-BENZALDEHYDE-DEHYDROG-NADP+-RXN // RXN-14940 // RXN0-7046 // RXN-10448
CPD-19404	RXN-18110
CPD-18292	RXN-16973 // RXN-16972
CPD-18274	RXN-16949 // RXN-16955
CPD-14756	RXN-13725
BENZOATE	BENZOATE--COA-LIGASE-RXN // RXN-9337 // RXN-10886 // BENZOATE-12-DIOXYGENASE-RXN // RXN-12257 // BENZOATE-4-MONOOXYGENASE-RXN // RXN-11271 // RXN-6722 // RXN-11660 // HIPPURATE-HYDROLASE-RXN // RXN-11192 // 3.7.1.8-RXN // BENZALDEHYDE-DEHYDROGENASE-NADP+-RXN // RXN-11272 // BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN // RXN-9336 // RXN-8088 // RXN-2005 // ACYLAGMATINE-AMIDASE-RXN
P-AMINO-BENZOATE	AMINOBENZOATE-DECARBOXYLASE-RXN // RXN-10884 // 4-AMINOBENZOATE-1-MONOOXYGENASE-RXN // RXN-12210 // RXN-14226 // RXN-14291 // RXN-12161 // H2PTEROATESYNTH-RXN // RXN-6142 // RXN0-5040 // ADCLY-RXN
CPD-18293	RXN-16972 // RXN-16971
CPD-18275	RXN-16950 // RXN-16956
CPD-15216	RXN-14322
CPD-14380	""
CPD-11211	""
L-THYROXINE	RXN-10610 // RXN-10612 // RXN-10614 // RXN-10608 // RXN-10606 // THYROXINE-DEIODINASE-RXN // 1.97.1.11-RXN // RXN-10477
CPD-11647	RXN-11190
CPD-13489	RXN-12515 // RXN-12514
CPD-13491	RXN-15699
CPD-11268	RXN-10460
CPD-15056	RXN-15121 // RXN-15122 // RXN-15148 // RXN-15147 // RXN-14048 // RXN-14301 // RXN-14049 // RXN-15149
CPD-12022	RXN-11073 // RXN-11071
2-AMINOACRYLATE	RXN-8899 // RXN-15124 // RXN-15131 // RXN-15581 // RXN-15583 // ALLIIN-LYASE-RXN // RXN-16176 // RXN-12632 // RXN-16174 // RXN-11524 // RXN-8916 // RXN-8909 // RXN-15137 // RXN-15584 // RXN-15582 // RXN-15580 // RXN-15579 // RXN-15578 // RXN-15577 // RXN-15129 // RXN-8898 // RXN-15128 // RXN-15125
CPD-16808	RXN-15572 // RXN-15571
CPD-16015	RXN-15127 // RXN-15124
CPD-12023	RXN-11073
CPD-16176	RXN-15193 // RXN-15192
BENZENAMINE-SULFATE	""
CPD-16178	RXN-15196 // RXN-15195
TRIMETHYLAMINE-N-O	RXN0-5263 // RXN0-5264 // TRIMETHYLAMINE-OXIDE-ALDOLASE-RXN // TMAOREDUCT-RXN // 1.7.2.3-RXN // RXN-12900
TRIMETHYLAMINE	RXN-12900 // RXN-8102 // 1.5.8.2-RXN // 1.21.4.4-RXN // 1.7.2.3-RXN // TMAOREDUCT-RXN // RXN-18376 // RXN-18258 // RXN-5921 // RXN-13946 // RXN-8132 // RXN0-5264 // RXN0-5263
CARBAMOYL-P	ASPCARBTRANS-RXN // LYSINE-CARBAMOYLTRANSFERASE-RXN // OXAMATE-CARBAMOYLTRANSFERASE-RXN // PUTRESCINE-CARBAMOYLTRANSFERASE-RXN // 2.1.3.9-RXN // RXN-8810 // RXN-9778 // RXN-13482 // RXN-9 // ORNCARBAMTRANSFER-RXN // RXN-14546 // RXN-15287 // RXN-15285 // RXN-15284 // RXN-16911 // RXN-16912 // RXN-16917 // RXN-14552 // RXN-17753 // RXN0-6435 // 2.1.3.7-RXN // CARBAMATE-KINASE-RXN // RXN-14196 // RXN-13202 // CARBPSYN-RXN
CPD-11758	""
CPD-394	RXN-8244 // PUTRESCINE-N-METHYLTRANSFERASE-RXN
CPD-11972	RXN-11012 // RXN-11011
CPD-11965	RXN-11009 // RXN-11008
AGMATHINE	AGMATIN-RXN // AGMATINE-KINASE-RXN // AGMATINE-N4-COUMAROYLTRANSFERASE-RXN // RXN-12514 // RXN-14344 // AGMATINE-DEIMINASE-RXN // RXN-16944 // RXN0-2162 // ACYLAGMATINE-AMIDASE-RXN // DIGUANIDINOBUTANASE-RXN // ARGDECARBOX-RXN
CPD-11974	RXN-11013 // RXN-11014
CPD-11967	RXN-11009
CPD-11963	RXN-11007 // RXN-11006
CPD-19193	RXN-18664
CPD-11971	RXN-11011 // RXN-11010
CPD-11964	RXN-11008 // RXN-11010 // RXN-11007
BETAINE_ALDEHYDE	BADH-RXN // CHOLINE-OXIDASEII-RXN // RXN-17758 // RXN0-7230 // CHD-RXN // RXN-6268 // RXN-6021 // CHOLINE-OXIDASE-RXN // RXN-12582
GAMMA-BUTYROBETAINE	1.14.11.1-RXN // RXN-18258 // TRANS-RXN-100 // RXN0-3601 // 1.2.1.47-RXN
CHOLINE	CHOLINE-SULFOTRANSFERASE-RXN // CHOLINE-KINASE-RXN // CHOLINE-O-ACETYLTRANSFERASE-RXN // RXN1F-357 // 2.7.8.24-RXN // RXN-12582 // CHOLINE-OXIDASE-RXN // RXN-6021 // RXN-13178 // RXN-13946 // 2.3.1.91-RXN // CHD-RXN // RXN0-7230 // RXN-18376 // TRANS-RXN-319 // RXN-17741 // RXN-17758 // RXN-5647 // TRANS-RXN-99 // TRANS-RXN0-533 // CHOLINESTERASE-RXN // PHOSCHOL-RXN // SPHINGOMYELIN-PHOSPHODIESTERASE-D-RXN // RXN-10638 // RXN-5763 // ACH1-RXN // ACETYLCHOLINESTERASE-RXN // SINAPINE-ESTERASE-RXN // CHOLINE-SULFATASE-RXN // 3.1.4.2-RXN
BETAINE	2.1.1.5-RXN // RXN-17759 // RXN0-7231 // TRANS-RXN-283 // 1.21.4.4-RXN // TRANS-RXN0-490 // RXN-5882 // TRANS-RXN0-532 // TRANS-RXN-29A // RXN-13178 // CHOLINE-OXIDASEII-RXN // RXN-9680 // RXN-13406 // RXN-13405 // BADH-RXN
CPD-543	CHOLINE-SULFATASE-RXN // CHOLINE-SULFOTRANSFERASE-RXN
BETAINE-ALDEHYDE-HYDRATE	RXN-6268 // RXN0-7231 // RXN-17759 // RXN1F-357
CPD-15600	""
CPD-13971	""
CPD-19694	""
CPD-18163	""
CPD-15763	""
CPD-15184	RXN-14267
CPD-14692	""
CPD-13780	""
CPD-10760	""
CPD-10224	RXN-9581 // RXN8J2-138 // RXN-9580
1-DEOXYXYLONOJIRIMYCIN	""
1-DEOXYNOJIRIMYCIN	""
CPD0-1300	""
DIHYDROXYACETONE	GLYCERONE-KINASE-RXN // 2.7.1.121-RXN // RXN-11708 // RXN0-7169 // RXN0-7249 // TRANS-RXN0-559 // GLYCEROL-DEHYDROGENASE-ACCEPTOR-RXN // RXN0-313 // FORMALDEHYDE-TRANSKETOLASE-RXN // GLYCEROL-2-DEHYDROGENASE-NADP+-RXN // GLYCDEH-RXN
CPD-9446	1.1.1.292-RXN // RXN-13064
NOREPINEPHRINE	RXN66-241 // RXN-10906 // RXN-10907 // DOPAMINE-BETA-MONOOXYGENASE-RXN
CPD-12632	RXN-11661
DOPAMINE	4.3.3.3-RXN // 4.3.3.4-RXN // RXN6666-9 // RXN6666-7 // RXN-8486 // RXN-9980 // DOPAMINE-BETA-MONOOXYGENASE-RXN // S-NORLAUDANOSOLINE-SYNTHASE-RXN // RXN-13794 // RXN6666-4 // RXN-8623 // RXN-9978 // RXN66-221
CPD-111	RXN-11218 // CATECHOL-2-3-DIOXYGENASE-RXN // RXN-8819 // 1.3.1.68-RXN // TOLUENE-DIOL-DEHYDROGENASE-RXN // O-CRESOL-METHYLCATECHOL-RXN
BIPHENYL-23-DIOL	BIPHENYL-23-DIOL-12-DIOXYGENASE-RXN // 1.3.1.56-RXN // 2-HYDROXYBIPHENYL-3-MONOOXYGENASE-RXN
CPD-782	1.13.11.15-RXN // RXN6666-6 // RXN6666-5 // RXN0-5065 // RXN-8505 // 1.14.12.9-RXN
CPD-11878	RXN-10914 // RXN-10911
CATECHOL	CATECHOL-OXIDASE-DIMERIZING-RXN // CATECHOL-12-DIOXYGENASE-RXN // CATECHOL-OXIDASE-RXN // CATECHOL-23-DIOXYGENASE-RXN // 1.3.1.20-RXN // RXN-17503 // RXN-17504 // RXN-3661 // 2-NITROPHENOL-2-MONOOXYGENASE-RXN // RXN-10443 // RXN-15248 // 1.14.12.1-RXN // 1.3.1.19-RXN // RXN-13706 // 2-CHLOROBENZOATE-12-DIOXYGENASE-RXN // R605-RXN // PHENOL-2-MONOOXYGENASE-RXN // RXN-11506 // RXN-10442 // RXN-10444 // SALICYLATE-1-MONOOXYGENASE-RXN // 1.3.1.25-RXN // BSDOSALCAL-RXN // PROTOCATECHUATE-DECARBOXYLASE-RXN // O-PYROCATECHUATE-DECARBOXYLASE-RXN
3-ETHYLCATECHOL	1.3.1.66-RXN
L-EPINEPHRINE	RXN-10908 // RXN-10909 // RXN66-241
CPD-11879	RXN-10916 // RXN-10912
CIS-12-DIHYDRO-3-ETHYLCATECHOL	1.3.1.66-RXN
DIHYDROXYPHENYLGLYCOLALDEHYDE	RXN-10912 // RXN-10907 // RXN-10911 // RXN-10908
4-METHYLCATECHOL	RXN-10080 // RXN-11219 // RXN-8041 // M-CRESOL-METHYLCATECHOL-RXN // RXN-10078 // RXN-16798 // RXN-8814 // 1.3.1.67-RXN // TSDOSALCAL-RXN // RXN-10079
3-2-CARBOXYPHENYLCATECHOL	RXN-2505 // RXN-2502
CPD-10055	RXN-9411 // RXN-9948 // RXN-9413
CPD-8222	RXN-9410 // RXN-9949 // RXN-9464 // 3.3.2.8-RXN
CPD-19231	""
CPD-12275	""
GLYCOL	GLYCOLALDREDUCT-RXN // RXN-14023 // RXN-17826
CPD-12276	""
CPD-13560	RXN-12595
CPD-9871	RXN-9236 // RXN-9235
CPD-9872	RXN-9243 // RXN-9242
2-HEXAPRENYL-3-METHYL-6-METHOXY-14-BENZ	RXN3O-75 // RXN-14298 // RXN3O-54
OCTAPRENYL-METHYL-METHOXY-BENZQ	OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN // 2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN
CPD-9859	RXN-9228 // RXN-9227
CPD-12831	RXN-7569 // RXN-10683
CPD-15301	TRANS-RXN-240 // RXN-15378 // RXN-14451
2-HEXAPRENYL-6-METHOXY-14-BENZOQUINOL	RXN3O-54 // RXN-14297 // RXN3O-12
CPD-9870	RXN-9242 // RXN-9241
CPD-19792	""
OCTAPRENYL-METHOXY-BENZOQUINONE	2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN // 2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN
CPD-9858	RXN-9227 // RXN-9226
CPD-9869	RXN-9235 // RXN-9234
CPD-16984	RXN-15763 // RXN-15762
CPD-16970	RXN-15749 // RXN-15748
CPD-16985	RXN-15765 // RXN-15763
CPD-16971	RXN-15750 // RXN-15749
INDOLE-3-GLYCEROL-P	RXN0-2381 // TRYPSYN-RXN // RXN-15494 // IGPSYN-RXN
CPD-16972	RXN-15750
CPD-16968	RXN-15747 // RXN-16583 // RXN-15746
CPD-6364	RXN-6684 // RXN-6683
CPD-18144	RXN-16824
CPD-18140	""
CPD-8914	RXN-8687 // RXN-8686
CPD-18137	""
CPD-6365	RXN-7021 // RXN-13137 // RXN-6684
CPD-6361	RXN-6682 // RXN-16823 // RXN-6681
CPD-18141	""
CPD-18138	""
CPD-6366	RXN-7022 // RXN-7082
CPD-6362	RXN-6683 // RXN-3943 // RXN-3942 // RXN-6682
CPD-18142	""
CPD-18139	""
CPD-8913	RXN-18224 // RXN-8686 // RXN-8685 // RXNQT-4364
CPD-6367	""
CPDQT-435	RXNQT-4362 // RXNQT-4361
CPDQT-429	RXNQT-4363 // RXN-18230 // RXNQT-4350
CPDQT-426	RXNQT-4358
THIAZOL-YL-INDOLE	RXN-18199 // RXN-8275 // RXN1F-17
CPDQT-423	""
CPD-13601	""
CPDQT-436	RXNQT-4362
CPD-13135	RXN-12341 // RXN-12206 // RXN-12205
CPDQT-433	RXNQT-4361 // RXNQT-4360
CPDQT-427	RXNQT-4357
CPDQT-424	RXNQT-4353
INDOLE-HYDROXYMETHYL-S-CYSTEINE-ADDUCT	RXN1F-14 // RXN1F-13
CPD-19510	""
INDOLE-3-CARBOXALDEHYDE	RXN1F-13 // RXN-12205 // RXNQT-4355
CPD-13561	""
CPDQT-434	RXNQT-4364 // RXNQT-4363
CPDQT-428	RXNQT-4356 // RXNQT-4357 // RXNQT-4355 // RXNQT-4353 // RXNQT-4352
CPDQT-425	RXNQT-4356
CPD-19511	RXNQT-4352 // RXNQT-4358 // RXN-18230
CPD-13599	""
CPD-83	RXN-11899 // RXN-12805 // RXN-11895 // RXN-12853 // RXN-87
CPD-16850	""
CPD-4721	RXN-12828 // RXN-11907 // RXN-13397
TYRAMINE	TYRAMINE-N-METHYLTRANSFERASE-RXN // RXN-8713 // RXN-8714 // RXN-8715 // RXN-9978 // TYRAMINE-N-FERULOYLTRANSFERASE-RXN // RXN-5821 // RXN-14645 // RXN-15198 // RXN-15947 // RXN-18120 // TYROSINE-DECARBOXYLASE-RXN
PHENYLETHYLAMINE	AMINEPHEN-RXN // RXN-10817 // RXN-11510 // PHENYLALANINE-DECARBOXYLASE-RXN // 3.5.1.85-RXN
CPD-10860	""
CPD-11224	RXN-10427
CPD-18089	RXN-16776
CHLORALAN-CPD	S-CARBOXYMETHYLCYSTEINE-SYNTHASE-RXN
3-CHLORO-D-ALANINE	RXN-15584 // 3-CHLORO-D-ALANINE-DEHYDROCHLORINASE-RXN // ALADEHYDCHLORO-RXN
CPD-11210	RXN-10420 // RXN-10419
CPD-10821	RXN-10077 // LINE-RXN
CPD-11870	RXN-10901
CPD-11869	RXN-10900
CPD-11867	RXN-10898
CPD-11868	RXN-10899
CPD-12702	MANDELONITRILE-LYASE-RXN // RXN-17966 // RXN-18095 // RXN-18096 // RXN-18098 // RXN-13610 // PRUNASIN-BETA-GLUCOSIDASE-RXN // VICIANIN-BETA-GLUCOSIDASE-RXN
CPD-12701	""
CPD-14592	RXN-13598
CPD-14593	RXN-13598
CPD-14590	2.4.1.178-RXN // RXN-18101 // RXN-13622 // RXN-13599
CPD-648	HYDROXYMANDELONITRILE-LYASE-RXN // RXN-13599 // RXN-743 // 1.14.13.68-RXN // 1.14.13.42-RXN // RXN-9588
CPD-12386	RXN-11421 // RXN-11413
CPD-8862	""
CPD-15584	""
CPD-19505	RXN-18225
CPD-4864	RXN-5082 // RXN-5081
CPD-12327	RXN-14726
CPD-9414	RXN-13231 // RXN-8966
CPD-627	ITACONYL-COA-HYDRATASE-RXN // CITRAMALYL-COA-LYASE-RXN // RXN-8965 // CITRAMALATE-COA-TRANSFERASE-RXN // 2.8.3.7-RXN
CPD-10557	RXN-17404 // RXN-17406
CPD-202	RXN-9800 // GLYCINE-N-CHOLOYLTRANSFERASE-RXN // 3.1.2.27-RXN // BAIAEUBSP-RXN // RXN-17406 // RXN-15366 // 2.3.1.176-RXN // CHOLATE--COA-LIGASE-RXN
DEOXYCHOLYL-COA	3OHSTEROXRED-RXN // RXN-15366
CPD-10556	RXN-9851 // RXN-9852 // RXN-14289 // RXN-17399 // RXN-17398 // RXN-9850
D-METHYL-MALONYL-COA	S-METHYLMALONYL-COA-HYDROLASE-RXN // 2.1.3.1-RXN // RXN-12914 // METHYLMALONYL-COA-DECARBOXYLASE-RXN // ERYTHRONOLIDE-SYNTHASE-RXN // RXN-9602 // RXN-15103 // RXN-15105 // RXN-15064 // RXN-13625 // RXN-15055 // RXN-15954 // RXN-16253 // RXN-9594 // RXN-17308 // RXN-17254 // RXN-17257 // RXN-17206 // RXN-17186 // RXN-17180 // RXN-17185 // RXN-17184 // MYCOCEROSATE-SYNTHASE-RXN // RXN-18051 // RXN-18052 // RXN-17272 // RXN-17246 // RXN-17215 // RXN-17323 // RXN-17202 // RXN-17324 // RXN-17321 // RXN-17224 // RXN-17222 // PROPIONYL-COA-CARBOXY-RXN // METHYLMALONYL-COA-EPIM-RXN
METHYL-MALONYL-COA	METHYLMALONYL-COA-MUT-RXN // METHYLMALONYL-COA-EPIM-RXN // RXN0-310 // RXN-18384
CPD-208	MALYL-COA-LYASE-RXN // RXN-14937 // MALATE--COA-LIGASE-RXN // RXN-8964
CPD-9449	RXN-14935
CPD-17624	RXN-16418 // RXN-2122
CPD-17468	RXN-16231
CPD-17626	""
CPD-17469	RXN-16230
CPD-14239	RXN-18560
CPD-17803	RXN-16548
CPD-17631	""
CPD-17623	RXN-2122 // RXN-2121
CPD-17465	""
Z-11-TETRADECENOYL-COA	RXN-16548 // RXN-16551 // 1.14.99.32-RXN
CPD-17633	RXN-12157 // RXN-12156
CPD-12174	""
CPD-12173	METHYLACYLYLCOA-HYDROXY-RXN // 3-HYDROXYISOBUTYRYL-COA-HYDROLASE-RXN
CPD-14928	RXN66-482 // RXN66-480
CPD-206	1.14.11.18-RXN // RXN66-482 // PHYTANATE--COA-LIGASE-RXN
CPD-18606	RXN-17207 // RXN-17206
CPD-14925	RXN-17799
CPD-14730	""
CPD-7221	RXN-14394 // RXN-7931 // RXN-14577
CPD-14919	""
CPD-14727	""
CPD-14922	""
CPD-14729	RXN-18752
CPD-18823	RXN-17403 // RXN-17404
3-OXO-CHOLYL-COA	BAI3OXO-OXRED-RXN // BAIAEUBSP-RXN
CPD-18831	RXN-17416
3-OXO-DEOXYCHOLYL-COA	BADEL4OXRED-RXN // 3OHSTEROXRED-RXN
CPD-18819	RXN-17400 // RXN-17399
LACTOYL-COA	RXN-781 // PROPIONLACT-RXN // RXN-15729 // RXN-15724
D-LACTOYL-COA	LACTOYL-COA-DEHYDRATASE-RXN // LACCOA-RXN // RXN-15728 // RXN-15723
CPD-672	4.3.1.14-RXN // R125-RXN
CPD-17781	""
CPD-17777	""
CPD-17771	""
CPD-8949	RXN-8720 // RXN-8719
CPD-17779	""
CPD-17772	RXN-16521 // RXN-16522
CPD-8950	RXN-8720
CPD-17780	""
CPD-17776	""
CPD-17770	""
CPD-8957	RXN-8726
CPD-8954	RXN-8726 // RXN-8722
CPD-17778	""
CPD-8955	RXN-8724
CPD-8952	RXN-8727 // RXN-8721
CPD-8956	RXN-8727 // RXN-8725
CPD-8953	RXN-8724 // RXN-8725 // RXN-8723
CPD-17606	RXN-16368
CPD-17607	RXN-16372
CPD-17604	RXN-16367
CPD-14454	RXN-13471
CPD-14455	RXN-13472
CPD-14431	RXN-13450
CPD-182	RXN-10769 // 3.1.1.56-RXN
CPD-14434	RXN-13452
CPD-19824	""
