"Compound"	"CAS"	"HMDB"	"KEGG"	"PubChem"
CPD-17686				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6999915'>6999915</a>"
CPD-20807				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=21773169'>21773169</a>"
CPD-11916			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11923'>C11923</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45479244'>45479244</a>"
CPD-17639				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=21950411'>21950411</a>"
CPD-19155				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=122706422'>122706422</a>"
CPD-17310				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91820264'>91820264</a>"
CPD-17289				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=77134721'>77134721</a>"
CPD-16387				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=70678733'>70678733</a>"
CPD-18636				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=122706503'>122706503</a>"
CPD-17126				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91820168'>91820168</a>"
CPD-9077				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=22747'>22747</a>"
CPD-16709				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5460989'>5460989</a>"
CPD-15680		"<a href='http://www.hmdb.ca/metabolites/HMDB60038'>HMDB60038</a>"		"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=86289714'>86289714</a>"
CPD-20869				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=134820395'>134820395</a>"
CPD-15679				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=57455226'>57455226</a>"
CPD-14927				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=40561589'>40561589</a>"
CPD-20802				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=21676627'>21676627</a>"
CPD-21402				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=129626787'>129626787</a>"
CPD-14393				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=72193685'>72193685</a>"
CPD-14268				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5461001'>5461001</a>"
CPD-16016				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25271609'>25271609</a>"
CPD-17023				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90657418'>90657418</a>"
CPD-14260				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5461071'>5461071</a>"
CPD-16375				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=70678646'>70678646</a>"
CPD-13087				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=52940143'>52940143</a>"
CPD-17302			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16279'>C16279</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=23724693'>23724693</a>"
