"Compound"	"CAS"	"HMDB"	"KEGG"	"PubChem"
CPD-6744				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25244400'>25244400</a>"
CPD-21594				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11953828'>11953828</a>"
CPD-6972			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03160'>C03160</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25245100'>25245100</a>"
CPD-20447				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=131841421'>131841421</a>"
CPD-21622			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17835'>C17835</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=124034'>124034</a>"
CPD-10152				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44123394'>44123394</a>"
CPD-20133				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=168675'>168675</a>"
CPD-9630				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25200958'>25200958</a>"
CPD-20008				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=129320363'>129320363</a>"
CPD-13243				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=52940120'>52940120</a>"
CPD-19993				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=129320502'>129320502</a>"
CPD-18158				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102514991'>102514991</a>"
CPD0-2162				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=71296200'>71296200</a>"
CPD-19992				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=129320317'>129320317</a>"
CPD-17932				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91819739'>91819739</a>"
CPD-12725				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=40469168'>40469168</a>"
CPD-16697			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21144'>C21144</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=118796883'>118796883</a>"
CPD-19991				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=76905'>76905</a>"
CPD-9588				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25202746'>25202746</a>"
HYDROXYATRAZINE			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06552'>C06552</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=135398733'>135398733</a>"
CPD-19990				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=129320385'>129320385</a>"
CPD-15822				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=613729'>613729</a>"
CPD-19422				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=122706567'>122706567</a>"
CPD-19989				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=71316501'>71316501</a>"
CPD-10348				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=129320337'>129320337</a>"
URATE-3-RIBONUCLEOSIDE		"<a href='http://www.hmdb.ca/metabolites/HMDB29920'>HMDB29920</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05513'>C05513</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=18534229'>18534229</a>"
CPD-19988			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07665'>C07665</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2761171'>2761171</a>"
CPD-19917				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=161746'>161746</a>"
CPD-8184		"<a href='http://www.hmdb.ca/metabolites/HMDB36619'>HMDB36619</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C10028'>C10028</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25200543'>25200543</a>"
CPD-22145				
ALPHA-METHYLTRYPTOPHAN				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6920146'>6920146</a>"
CPD-15172				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=136630925'>136630925</a>"
3-BETA-D-GLUCOSYLGLUCOSE		"<a href='http://www.hmdb.ca/metabolites/HMDB29882'>HMDB29882</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01518'>C01518</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=439512'>439512</a>"
CPD-19916				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=28032'>28032</a>"
CPD-8117		"<a href='http://www.hmdb.ca/metabolites/HMDB03073'>HMDB03073</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06426'>C06426</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5461003'>5461003</a>"
CPD-8143				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=20769154'>20769154</a>"
CPD-6944				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44123297'>44123297</a>"
CPD-19840				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=126961171'>126961171</a>"
CPD-14824				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10841200'>10841200</a>"
CPD-10118				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=86573769'>86573769</a>"
CPD-19839				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=126961035'>126961035</a>"
CPD0-2579				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91820405'>91820405</a>"
CPD-7954				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5459184'>5459184</a>"
CPD-9543		"<a href='http://www.hmdb.ca/metabolites/HMDB37270'>HMDB37270</a>"		"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44123328'>44123328</a>"
CPD-19833				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=126456462'>126456462</a>"
CPD-18893				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=122706088'>122706088</a>"
CPD-12734				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5320315'>5320315</a>"
CPD-13079				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=22955880'>22955880</a>"
CPD-19629				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=441401'>441401</a>"
CPD-19528				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6438453'>6438453</a>"
CPD-18169				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515002'>102515002</a>"
CPD0-2087				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3877978'>3877978</a>"
INOSITOL-1-4-5-TRISPHOSPHATE	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=85166-31-0'>85166-31-0</a>" // "<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=88269-39-0'>88269-39-0</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB01498'>HMDB01498</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01245'>C01245</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=21761708'>21761708</a>"
CPD-12726			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C10184'>C10184</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5281697'>5281697</a>"
CPD-16509				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6999703'>6999703</a>"
CPD-19415				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3086448'>3086448</a>"
CPD1F-90		"<a href='http://www.hmdb.ca/metabolites/HMDB05801'>HMDB05801</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05903'>C05903</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25202062'>25202062</a>"
HEXACHLOROETHANE			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19248'>C19248</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6214'>6214</a>"
CPD-19414			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C12437'>C12437</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=12967404'>12967404</a>"
CPD-18156				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102514992'>102514992</a>"
CPD-19365				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=122706210'>122706210</a>"
CPD-19413				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=122706266'>122706266</a>"
CPD-10349				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102514990'>102514990</a>"
TRANS-CYCLOHEXANE-12-DIOL	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=1460-57-7'>1460-57-7</a>"		"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03739'>C03739</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=13601'>13601</a>"
CPD-19412				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=122706637'>122706637</a>"
CPD-8485	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=525-82-6'>525-82-6</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB03075'>HMDB03075</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C10043'>C10043</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10680'>10680</a>"
CPD-21942				
CPD-19316				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=122706485'>122706485</a>"
CPD-12261				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90657238'>90657238</a>"
CPD-15175				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=51136398'>51136398</a>"
24DINH2-PENTANOATE	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=24317-81-5'>24317-81-5</a>" // "<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=126253-36-9'>126253-36-9</a>"		"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03943'>C03943</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45479466'>45479466</a>"
CPD-18766			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21146'>C21146</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=118796885'>118796885</a>"
CPD-10345				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25202896'>25202896</a>"
CPD-6722				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25246171'>25246171</a>"
CPD-18765			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21145'>C21145</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=118796884'>118796884</a>"
CPD-8144				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=20769155'>20769155</a>"
CPD-10085				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11418'>11418</a>"
CPD-18727				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=137139718'>137139718</a>"
CPD-15063				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=29927686'>29927686</a>"
CPD-9451		"<a href='http://www.hmdb.ca/metabolites/HMDB12241'>HMDB12241</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02631'>C02631</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=21954611'>21954611</a>"
CPD-18548				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515122'>102515122</a>"
CPD-18442				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6437361'>6437361</a>"
CPD-8138			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C14137'>C14137</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=72279'>72279</a>"
CPD-12871			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20154'>C20154</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5473050'>5473050</a>"
DL-6-METHYLTRYPTOPHAN				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25245573'>25245573</a>"
CPD-13502		"<a href='http://www.hmdb.ca/metabolites/HMDB29521'>HMDB29521</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C10044'>C10044</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=54758662'>54758662</a>"
CPD0-2055				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=94233'>94233</a>"
CPD-18441			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?D02952'>D02952</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5311005'>5311005</a>"
CPD-17350				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=40575468'>40575468</a>"
CPD-18170				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515413'>102515413</a>"
CPD-162			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02927'>C02927</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25245208'>25245208</a>"
CPD-18433				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515437'>102515437</a>"
CPD-12727			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C10197'>C10197</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5281703'>5281703</a>"
GLUTAMATE-1-SEMIALDEHYDE			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03741'>C03741</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25244684'>25244684</a>"
CPD-18432				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515014'>102515014</a>"
CPD-18157				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515438'>102515438</a>"
CPD-19274			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06628'>C06628</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=121232727'>121232727</a>"
CPD-18237				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515272'>102515272</a>"
CPD-12724		"<a href='http://www.hmdb.ca/metabolites/HMDB31991'>HMDB31991</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C10023'>C10023</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5281605'>5281605</a>"
CPD-8990				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11862103'>11862103</a>"
TETCYCLACIS				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91690'>91690</a>"
CPD-18224				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515290'>102515290</a>"
CPD-18223				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515265'>102515265</a>"
CPD-9587				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90657789'>90657789</a>"
CPD-21843				
CPD-6745				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25244812'>25244812</a>"
CPD-15176				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5320313'>5320313</a>"
2-PROTOCATECHUOYLPHLOROGLUCINOLCARBOXYLA		"<a href='http://www.hmdb.ca/metabolites/HMDB59651'>HMDB59651</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04524'>C04524</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=54675870'>54675870</a>"
CPD-18222				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102514935'>102514935</a>"
CPD-10347			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08064'>C08064</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=441381'>441381</a>"
CPD-656	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=4042-36-8'>4042-36-8</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB00805'>HMDB00805</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02237'>C02237</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7043982'>7043982</a>"
CPD-18221				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515509'>102515509</a>"
CPD-8153				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25244203'>25244203</a>"
CPD-10016		"<a href='http://www.hmdb.ca/metabolites/HMDB15002'>HMDB15002</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01375'>C01375</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6536850'>6536850</a>"
CPD-18173				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515202'>102515202</a>"
CPD-15109				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=38348319'>38348319</a>"
CPD-9405				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25201674'>25201674</a>"
CPD-18162				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515079'>102515079</a>"
CPD-8141			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11264'>C11264</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5281894'>5281894</a>"
CPD-12760				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=49859611'>49859611</a>"
CPD-18161				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515294'>102515294</a>"
CPD-13511			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C10176'>C10176</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5281691'>5281691</a>"
CPD0-2017				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102807'>102807</a>"
CPD-18160				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102514919'>102514919</a>"
CPD-431	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=520-36-5'>520-36-5</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB02124'>HMDB02124</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01477'>C01477</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25200950'>25200950</a>"
CPD-15943			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C12003'>C12003</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=72715789'>72715789</a>"
CPD-18159				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515418'>102515418</a>"
CPD-12728				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=35755714'>35755714</a>"
FECOSTEROL			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04525'>C04525</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=440371'>440371</a>"
CPD-17995				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91819845'>91819845</a>"
CPD-19179				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=137139728'>137139728</a>"
CPD-17993				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91819764'>91819764</a>"
CPD-17992				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=54679016'>54679016</a>"
STRICTOSIDINE-AGLYCONE			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03309'>C03309</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25201261'>25201261</a>"
CPD-392	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=33468-32-5'>33468-32-5</a>"		"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16831'>C16831</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=40423437'>40423437</a>"
CPD-21763				
CPD-17903				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=434786'>434786</a>"
ARACHIDONIC_ACID	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=506-32-1'>506-32-1</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB01043'>HMDB01043</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00219'>C00219</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5460265'>5460265</a>"
CPD-10783			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21201'>C21201</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3246941'>3246941</a>"
2-HYDROXYSUCCINAMATE				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=22666963'>22666963</a>"
CPD-17879				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9887988'>9887988</a>"
CPD-10780			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21198'>C21198</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=688505'>688505</a>"
CPD-6301			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02088'>C02088</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=439647'>439647</a>"
CPD-17875				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91819992'>91819992</a>"
CPD-10784			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11837'>C11837</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10130163'>10130163</a>"
CIS-34-DIHYDROXYCYCLOHEXA-162-DIENE-				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25245054'>25245054</a>"
CPD-17874				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91820582'>91820582</a>"
CPD-8989				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11869257'>11869257</a>"
CPD-10781			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11842'>C11842</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=24150947'>24150947</a>"
CPD-9358	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=156-83-2'>156-83-2</a>"			"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=67432'>67432</a>"
CPD-17873				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91820097'>91820097</a>"
CPD-18902				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=23246906'>23246906</a>"
CPD-10785			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21199'>C21199</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6914579'>6914579</a>"
CPD-12579				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46926310'>46926310</a>"
CPD-17872				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91820005'>91820005</a>"
CPD-10782			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11841'>C11841</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=127293'>127293</a>"
CPD0-1920				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45479524'>45479524</a>"
CPD-17871				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91820394'>91820394</a>"
CPD-21384				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=126843500'>126843500</a>"
CPD-15894				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=86289534'>86289534</a>"
CPD-17868				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91819952'>91819952</a>"
CPD-10608			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C12838'>C12838</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9543248'>9543248</a>"
ENT-KAUR-16-EN-19-OL		"<a href='http://www.hmdb.ca/metabolites/HMDB36727'>HMDB36727</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11872'>C11872</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=443465'>443465</a>"
CPD-17824				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=54681518'>54681518</a>"
CPD-20439			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C09128'>C09128</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=73401'>73401</a>"
CPD-19044				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=61207'>61207</a>"
CPD-17823				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=54681516'>54681516</a>"
CPD-19606				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=123708412'>123708412</a>"
SCOPOLIN	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=531-44-2'>531-44-2</a>"		"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01527'>C01527</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=439514'>439514</a>"
CPD-17801				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=24066885'>24066885</a>"
TRANS-2-CHLORO-4-CARBOXYMETHYLENEBUT-2-E			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04729'>C04729</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9543237'>9543237</a>"
CPD-21628			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03499'>C03499</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=440030'>440030</a>"
